question,answer,question_arm,answer_arm
what is the name of justin bieber brother?,Justin Bieber's brother's name is Jaxon Bieber.,Ի՞նչ է Ջասթին Բիբեր եղբոր անունը:,Ջասթին Բիբերի եղբոր անունը Ջեքսոն Բիբեր է։
what character did natalie portman play in star wars?,Natalie Portman played the character Padmé Amidala in Star Wars.,Ի՞նչ կերպար է խաղացել Նատալի Պորտմանը «Աստղային Պատերազմներ» ֆիլմում:,Նատալի Պորտմանը «Աստղային պատերազմներ» ֆիլմում մարմնավորել է Պադմե Ամիդալային։
what state is selena gomez from?,Texas.,Ո՞ր նահանգից է Սելենա Գոմեսը։,Տեխաս։
what country is the grand bahama island in?,The Grand Bahama Island is in The Bahamas.,Ո՞ր երկրում է գտնվում Մեծ Բահամա կղզին:,Մեծ Բահամա կղզին գտնվում է Բահամյան կղզիներում:
what kind of money to take to bahamas?,The Bahamian dollar.,Ի՞նչ փող տանել Բահամյան կղզիներ.,Բահամյան դոլար։
Who is Kim Kardashian dating?,"As an AI language model, I don't have access to real-time information. Therefore, I cannot provide the current dating status of Kim Kardashian.",Ո՞ւմ հետ է հանդիպում Քիմ Քարդաշյանը.,"Որպես ԱԲ լեզվի մոդել՝ ինձ հասանելի չեմ իրական ժամանակի տեղեկատվությանը: Հետևաբար, ես չեմ կարող պատասխանել, թե ում հետ է հանդիպում Քիմ Քարդաշյանը ներկայումս։ "
what character did john noble play in lord of the rings?,John Noble played the character Denethor in the Lord of the Rings.,ի՞նչ կերպար է խաղացել Ջոն Նոբլը Օղակների Տիրակալում:,Ջոն Նոբլը մարմնավորել է Դենեթորի կերպարը «Մատանիների Տիրակալ»-ում։
where did saki live?,Saki lived in England.,Ո՞րտեղ էր ապրում Սաքին,Սաքին ապրում էր Անգլիայում։
how old is sacha baron cohen?,Sacha Baron Cohen is 49 years old.,Ք՞անի տարեկան է Սաշա բարոն Քոենը:,Սաշա Բարոն Քոհենը 49 տարեկան է։
what two countries invaded poland in the beginning of ww2?,Germany and the Soviet Union.,Ո՞ր երկու երկրներն են ներխուժել Լեհաստան Երկրորդ համաշխարհային պատերազմի սկզբին:,Գերմանիան և Խորհրդային Միությունը։
what time zone am is in cleveland ohio?,"Cleveland, Ohio is in the Eastern Time Zone.", Ո՞ր ժամային գոտում է Քլիվլենդ Օհայոն:,Քլիվլենդ Օհայոն գտնվում է արևելյան ժամային գոտում:
who did draco malfoy end up marrying?,Draco Malfoy married Astoria Greengrass.,Ո՞ւմ հետ ամուսնացավ Դրակո Մալֆոյը:,Դրակո Մալֆոյն ամուսնացավ Աստորիա Գրինգրասի հետ։
which countries border the us?,Canada and Mexico border the US.,Ո՞ր երկրներն են սահմանակից ԱՄՆ-ին։,Կանադան և Մեքսիկան են  սահմանակից են ԱՄՆ-ին:
where is rome italy located on a map?,"Rome, Italy is located in central Italy on the western coast of the country.",Ո՞րտեղ է գտնվում Հռոմն Իտալիայի քարտեզում:,"Հռոմն գտնվում է կենտրոնական Իտալիայում, երկրի արևմտյան ափին:"
what is nina dobrev nationality?,Canadian.,Ի՞նչ ազգություն ունի Նինա Դոբրևը:,Կանադացի։
what country does iceland belong to?,Iceland belongs to the country of Iceland.,Ո՞ր երկրին է պատկանում Իսլանդիան։,Իսլանդիան պատկանում է Իսլանդիայի երկրին։
which kennedy died first?,John F. Kennedy.,Ո՞ր Քենեդին մահացավ առաջինը։,Ջոն Քենեդին։
what books did beverly cleary right?,"Beverly Cleary wrote many books, including the ""Ramona"" series, ""Beezus and Ramona"", ""Henry Huggins"", and ""Dear Mr. Henshaw.""",Բևերլիի Քլիրիի ո՞ր գրքերն էին ճիշտ:,"Բևերլի Քլիրին գրել է բազմաթիվ գրքեր, այդ թվում՝ «Ռամոնա» շարքը, «Բիզուս և Ռամոնա», «Հենրի Հագինս» և «Հարգելի Պարոն Հենշոու» ​​շարքերը։"
who did the philippines gain independence from?,The Philippines gained independence from the United States.,Ումի՞ց անկախություն ձեռք բերեցին Ֆիլիպինները:,Ֆիլիպինները անկախություն ձեռք բերեցին ԱՄՆ-ից։
where to fly into bali?,"Ngurah Rai International Airport in Denpasar, Bali.",Որտեղ թռչել Բալիում։,"Նգուրա Ռայի միջազգային օդանավակայանում ՝ Դենպասարում, Բալի:"
who is the prime minister of ethiopia?,"As of September 2021, the Prime Minister of Ethiopia is Abiy Ahmed.",Ո՞վ է Եթովպիայի վարչապետը։,2021 թվականի սեպտեմբերի դրությամբ Եթովպիայի վարչապետը Աբի Ահմեդն է։
what to see near sedona arizona?,"Some popular attractions near Sedona, Arizona include the Red Rock State Park, Cathedral Rock, Slide Rock State Park, and the Chapel of the Holy Cross.",Ի՞նչ տեսնել Սեդոնա Արիզոնայի մոտ:,"Արիզոնայի Սեդոնայի մերձակայքում գտնվող որոշ հայտնի տեսարժան վայրերը ներառոված  Red Rock State Park-ը, Cathedral Rock-ը, Slide Rock State Park-ը և Սուրբ Խաչի մատուռը:"
what high school did president bill clinton attend?,President Bill Clinton attended Hot Springs High School in Arkansas.,Ո՞ր ավագ դպրոցն է հաճախել նախագահ Բիլ Քլինթոնը:,Նախագահ Բիլ Քլինթոնը հաճախել է Արկանզասի Hot Springs ավագ դպրոց:
what form of government does russia have today?,Russia has a semi-presidential federal republic form of government.,Ինչպիսի՞ կառավարման ձև ունի Ռուսաստանն այսօր։,Ռուսաստանն ունի կիսանախագահական դաշնային հանրապետության կառավարման ձև։
what movies does taylor lautner play in?,"Taylor Lautner has appeared in movies such as the Twilight series, Abduction, and Valentine's Day.",Ո՞ր ֆիլմերում է խաղացել Թեյլոր Լոթները,"Թեյլոր Լոթները նկարահանվել է այնպիսի ֆիլմերում, ինչպիսիք են «Մթնշաղ» սերիալը, «Առևանգումը» և «Վալենտինի օրը»:"
what year lebron james came to the nba?,LeBron James came to the NBA in the year 2003.,Ո՞ր տարում Լեբրոն Ջեյմսը եկավ ԲԱԱ:,Լեբրոն Ջեյմսը ԲԱԱ է եկել 2003 թվականին։
what did the german revolution lead to?,The German Revolution led to the abdication of Kaiser Wilhelm II and the end of the German monarchy. It also resulted in the establishment of the Weimar Republic as a democratic government in Germany.,Ինչի՞ հանգեցրեց գերմանական հեղափոխությունը.,Գերմանական հեղափոխությունը հանգեցրեց Կայզեր Վիլհելմ II-ի հրաժարականին և գերմանական միապետության ավարտին։ Այն նաև հանգեցրեց Վայմարի Հանրապետության՝ որպես ժողովրդավարական կառավարության ստեղծմանը Գերմանիայում:
