question,question_concept,choices,answerKey,choice_A,choice_B,choice_C,choice_D,choice_E,question_arm,choice_A_arm,choice_B_arm,choice_C_arm,choice_D_arm,choice_E_arm,responses_en_ZS,responses_arm_ZS,response_en_OS,response_arm_OS,response_en_FS,response_arm_FS,response_arm_sys_ZS,response_arm_sys_OS,response_arm_sys_FS,responses_en_ZS_letter,responses_en_ZS_text,response_en_OS_letter,response_en_OS_text,response_en_FS_letter,response_en_FS_text,responses_arm_ZS_letter,responses_arm_ZS_text,response_arm_OS_letter,response_arm_OS_text,response_arm_FS_letter,response_arm_FS_text,response_arm_sys_ZS_letter,response_arm_sys_ZS_text,response_arm_sys_OS_letter,response_arm_sys_OS_text,response_arm_sys_FS_letter,response_arm_sys_FS_text
"Bill sits down on a whoopee cushion, what sound does he make when he sits?",sitting down,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fall asleep', 'flatulence', 'sigh of relief', 'medium', 'comfort'],
      dtype=object)}",B,fall asleep,flatulence,sigh of relief,medium,comfort,"Բիլլը նստում է բարձիկի վրա, ի՞նչ ձայն է նա նստում:","քնել, քնով անցնել",փքվածություն,թեթեւացած հոգոց,միջին,հարմարավետություն,B) flatulence,D) միջին,B) flatulence,"A) քնել, քնով անցնել
B) փքվածություն
C) թեթեւացած հոգոց
D) միջին
E) հարմարավետություն",B,E) հարմարավետություն,"Բիլլը նստում է բատմերի վրա, ի՞նչ քանիսացում կատարվի։

A) մեկը B) երկուսը C) երեքը D) չի քանիսացում","A) քնել, քնով անցնել","A) քնել, քնով անցնել",B,flatulence,B,flatulence,B,,D,միջին,A,"քնել, քնով անցնել
B) փքվածություն
C) թեթեւացած հոգոց
D) միջին
E) հարմարավետություն",E,հարմարավետություն,,մեկը B) երկուսը C) երեքը D) չի քանիսացում,A,"քնել, քնով անցնել",A,"քնել, քնով անցնել"
What is likely heard by those going to a party?,going to party,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['smoking pot', 'happiness', 'laughter', 'babies',
       'meet new people'], dtype=object)}",C,smoking pot,happiness,laughter,babies,meet new people,Ի՞նչ են հավանաբար լսում երեկույթի գնացողները:,ծխելու կաթսա,երջանկություն,ծիծաղ,նորածիններ,հանդիպել նոր մարդկանց,C) laughter,E) հանդիպել նոր մարդկանց,C) laughter,"Example:
Question: What are the basic colors in the RGB color model?
Options:
A) Red, Green, Blue
B) Red, Yellow, Blue
C) Cyan, Magenta, Yellow
D) Black, white, gray
E) Primary, secondary, tertiary

The correct answer is A) Red, Green, Blue.

Now answer this:
Question: Ի՞նչ են Հայաստանից արտադրվող մշակութային իրերը:
Options:
A) մանկատա. վերեմուծական. երաժշտական
B) մանկատա. ներքաղաքական. երաժշտական
C) հայկական. պողպատական. արբերաբարձական
D) հայկական. այլևուսական. արբերաղձական
E) քարեկամանկատա. մետաղաքական. երաժշտական",C) laughter,"Q: Ի՞նչ են հավանաբար լսում երեկույթի գնացողները:

Options:
A) ծխելու կաթսա
B) երջանկություն
C) ծիծաղ
D) նորածիններ
E) հանդիպել նոր մարդկանց",E) հանդիպել նոր մարդկանց,Պատասխանը պետք է լինի B) երջանկություն,"Բոլորը հավանաբար լսում են երեկույթի գնացողները։ Բայց ըստ հարցի առաջին մասն, վերջինը լսում են ""նորածիններ""։ Իսկ այնպես չեն լսում ծխելու կաթսեն, երջանկությունը, ծիծաղին կամ հանդիպել նոր մարդկանցին։ Մոտավորապես, պատասխանը կլինի D: նորածիններ։",C,laughter,C,laughter,C,laughter,E,հանդիպել նոր մարդկանց,,"Red, Green, Blue
B) Red, Yellow, Blue
C) Cyan, Magenta, Yellow
D) Black, white, gray
E) Primary, secondary, tertiary

The correct answer is A) Red, Green, Blue.

Now answer this:
Question: Ի՞նչ են Հայաստանից արտադրվող մշակութային իրերը:
Options:
A) մանկատա. վերեմուծական. երաժշտական
B) մանկատա. ներքաղաքական. երաժշտական
C) հայկական. պողպատական. արբերաբարձական
D) հայկական. այլևուսական. արբերաղձական
E) քարեկամանկատա. մետաղաքական. երաժշտական",,"ծխելու կաթսա
B) երջանկություն
C) ծիծաղ
D) նորածիններ
E) հանդիպել նոր մարդկանց",E,հանդիպել նոր մարդկանց,,երջանկություն,,
A handsome prince is a stock character common to what?,prince,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['england', 'fairy tale', 'castle', 'palace', 'court'], dtype=object)}",B,england,fairy tale,castle,palace,court,Գեղեցիկ արքայազնը ինչի՞ն է բնորոշ ֆոնդային կերպար:,անգլիա,հեքիաթ,ամրոց,պալատ,դատարան,B) fairy tale,B) հեքիաթ,B) fairy tale,C) ամրոց,B) fairy tale,C) ամրոց,D) պալատ,C) ամրոց,C) ամրոց,B,fairy tale,B,fairy tale,B,fairy tale,B,հեքիաթ,C,ամրոց,C,ամրոց,D,պալատ,C,ամրոց,C,ամրոց
What covers the largest percentage of the pacific northwest?,pacific northwest,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['united states', 'united states', 'washington', 'oregon',
       'british columbia'], dtype=object)}",B,united states,united states,washington,oregon,british columbia,Ի՞նչն է ընդգրկում խաղաղօվկիանոսյան հյուսիս-արևմուտքի ամենամեծ տոկոսը:,Միացյալ Նահանգներ,Միացյալ Նահանգներ,Վաշինգտոն,օրեգոն,Բրիտանական Կոլումբիա,E) British Columbia,C) Վաշինգտոն,C) washington,A) Միացյալ Նահանգներ,C) washington,A) Միացյալ Նահանգներ,D) օրեգոն,C,C) Վաշինգտոն,E,British Columbia,C,washington,C,washington,C,Վաշինգտոն,A,Միացյալ Նահանգներ,A,Միացյալ Նահանգներ,D,օրեգոն,C,,C,Վաշինգտոն
When black and white balls are kicked with feet what is being played?,balls,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sporting event', 'gym', 'toy store', 'baseball', 'soccer game'],
      dtype=object)}",E,sporting event,gym,toy store,baseball,soccer game,"Երբ ոտքերով խփում են սև ու սպիտակ գնդակներին, ի՞նչ է խաղում:",մարզական միջոցառում,մարզասրահ,խաղալիքների ԽԱՆՈՒԹ,բեյսբոլ,ֆուտբոլային խաղ,E) soccer game,E) ֆուտբոլային խաղ,E) soccer game,"Հարց: Երբ ոտքերով խփում են սև ու սպիտակ գնդակներին, ի՞նչ է խաղում:
Տարբերակներ:
A) մարզական միջոցառում
B) մարզասրահ
C) խաղալիքների ԽԱՆՈՒԹ
D) բեյսբոլ
E) ֆուտբոլային խաղ",E) soccer game,C) խաղալիքների ԽԱՆՈՒԹ,B) մարզասրահ,A,B) մարզասրահ,E,soccer game,E,soccer game,E,soccer game,E,ֆուտբոլային խաղ,,"մարզական միջոցառում
B) մարզասրահ
C) խաղալիքների ԽԱՆՈՒԹ
D) բեյսբոլ
E) ֆուտբոլային խաղ",C,խաղալիքների ԽԱՆՈՒԹ,B,մարզասրահ,A,,B,մարզասրահ
"A snake is not something you want to come across on a plane, but it's most likely to happen while out in mother what?",snake,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nature', 'pet shop', 'georgia', 'tropical forest', 'france'],
      dtype=object)}",A,nature,pet shop,georgia,tropical forest,france,"Օձն այն չէ, ինչի հետ դուք կցանկանայիք հանդիպել ինքնաթիռում, բայց ամենայն հավանականությամբ, դա տեղի կունենա մայրիկի մեջ գտնվելու ժամանակ:",բնությունը,Տնային կենդանիների խանութ,Վրաստան,արեւադարձային անտառ,Ֆրանսիան,A) nature,D) արեւադարձային անտառ,A) nature,"Հարց: Օձն այն չէ, ինչի հետ դուք կցանկանայիք հանդիպել ինքնաթիռում, բայց ամենայն հավանականությամբ, դա տեղի կունենա մայրիկի մեջ գտնվելու ժամանակ:
Ընտրեք ամենակարեւելային անտառներից մեկը։

A) բնությունը
B) Տնային կենդանիների խանութ
C) Վրաստան
D) արեւադարձային անտառ
E) Ֆրանսիան",A) nature,"Q: Օձն այն չէ, ինչի հետ դուք կցանկանայիք հանդիպել ինքնաթիռում, բայց ամենայն հավանականությամբ, դա տեղի կունենա մայրիկի մեջ գտնվելու ժամանակ:
Options:
A) բնությունը
B) Տնային կենդանիների խանութ
C) Վրաստան
D) արեւադարձային անտառ
E) Ֆրանսիան","դուք պարզապես պետք է ունենաք այս հարցում լինելու նախապատրաստում այլ քիչ ավելի բացարձակցված ու նորակոչիներին հետ անխատում։ 
դասակարգիչը գործում է անհրաժեշտ գործված գրադարանը։ օրինակ՝:

  if option == 'A':
      print('Դուք ընտրեցիք A-ի տարբերակը')

  elif option == 'B':
      print('Դուք ընտրեցիք B-ի տարբերակը')

  elif option == 'C':
      print('Դուք ընտրեցիք C-ի տարբերակը')

  elif option == 'D':
      print('Դուք ընտրեցիք D-ի տարբերակը')

  elif option == 'E':
      print('Դուք ընտրեցիք E-ի տարբերակը')

  else:
      print('Ընտրված տարբերակը սխալ է')

Տեղադրելուց։ 

Տեսանելուց։ 
Անցնելուց։",A) բնությունը,"A

բնությունը",A,nature,A,nature,A,nature,D,արեւադարձային անտառ,,"բնությունը
B) Տնային կենդանիների խանութ
C) Վրաստան
D) արեւադարձային անտառ
E) Ֆրանսիան",,"բնությունը
B) Տնային կենդանիների խանութ
C) Վրաստան
D) արեւադարձային անտառ
E) Ֆրանսիան",,"elif option == 'B':
      print('Դուք ընտրեցիք B-ի տարբերակը')

  elif option == 'C':
      print('Դուք ընտրեցիք C-ի տարբերակը')

  elif option == 'D':
      print('Դուք ընտրեցիք D-ի տարբերակը')

  elif option == 'E':
      print('Դուք ընտրեցիք E-ի տարբերակը')

  else:
      print('Ընտրված տարբերակը սխալ է')

Տեղադրելուց։ 

Տեսանելուց։ 
Անցնելուց։",A,բնությունը,,
"If someone had been smoking, an easy way to tell would be if they were what?",smoking,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['inhale', 'unhealthy', 'a chimney', 'go outside', 'coughing'],
      dtype=object)}",E,inhale,unhealthy,a chimney,go outside,coughing,"Եթե ​​ինչ-որ մեկը ծխող լիներ, ապա պարզելու հեշտ միջոցը կլիներ, եթե նա ինչ լիներ:",ներշնչել,անառողջ,մի ծխնելույզ,գնա դուրս,● Հազալը,E) coughing,C) մի ծխնելույզ,C) a chimney,A) ներշնչել,C) a chimney,E) ● Հազալը,A) ներշնչել,A) Ներշնչել,C) մի ծխնելույզ,E,coughing,C,a chimney,C,a chimney,C,մի ծխնելույզ,A,ներշնչել,E,● Հազալը,A,ներշնչել,A,Ներշնչել,C,մի ծխնելույզ
Billy was smart but inexperienced.  In many ways he was what?,smart,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garish', 'bright', 'ignorant', 'make invisible', 'backward'],
      dtype=object)}",C,garish,bright,ignorant,make invisible,backward,"Բիլլին խելացի էր, բայց անփորձ։ Ինչ էր նա շատ առումներով:",շքեղ,պայծառ,անգրագետ,անտեսանելի դարձնել,հետամնաց,C) ignorant,C) անգրագետ,C) ignorant,"Հարցի կամայական պատասխանը կարող է լինել ""շքեղ"", ""պայծառ"", ""անգրագետ"", ""անտեսանելի դարձնել"" կամ ""հետամնաց"":
A",C) ignorant,"Հարց. Բիլլին խելացի էր, բայց անփորձ։ Ինչ էր նա շատ առումներով:
Տարբերակներ.
A) շքեղ
B) պայծառ
C) անգրագետ
D) անտեսանելի դարձնել
E) հետամնաց",C) անգրագետ,"Տարբերակները:
A) շքեղ
B) պայծառ
C) անգրագետ
D) անտեսանելի դարձնել
E) հետամնաց

A",C) անգրագետ,C,ignorant,C,ignorant,C,ignorant,C,անգրագետ,,,,"շքեղ
B) պայծառ
C) անգրագետ
D) անտեսանելի դարձնել
E) հետամնաց",C,անգրագետ,,"շքեղ
B) պայծառ
C) անգրագետ
D) անտեսանելի դարձնել
E) հետամնաց

A",C,անգրագետ
Where can someone find a shiny advertisement?,advertisement,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['magazine', 'email', 'store', 'bus', 'closet'], dtype=object)}",A,magazine,email,store,bus,closet,Որտե՞ղ կարող է ինչ-որ մեկը գտնել փայլուն գովազդ:,ամսագիր,էլ,խանութ,ավտոբուս,պահարան,A) magazine,C) խանութ,D) bus,E) պահարան,A) magazine,A) ամսագիր,A) ամսագիր,C,Տարբերակ D) ավտոբուսը գտնել է փայլուն գովազդ։,A,magazine,D,bus,A,magazine,C,խանութ,E,պահարան,A,ամսագիր,A,ամսագիր,C,,,ավտոբուսը գտնել է փայլուն գովազդ։
The only thing left of the ancient giants lizards are fossils and what?,lizards,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['four legs', 'sex to produce offspring', 'pictures', 'bones',
       'tail'], dtype=object)}",D,four legs,sex to produce offspring,pictures,bones,tail,Հնագույն հսկա մողեսներից մնացել են միայն բրածոները և ի՞նչ։,չորս ոտք,սեռը սերունդ տալու համար,նկարներ,ոսկորներ,պոչը,D) bones,E) պոչը,D) bones,"Հարց: Հնագույն հսկա մողեսներից մնացել են միայն բրածոները և ի՞նչ։
Տարբերակներ:
A) Չորս ոտք
B) Սեռը սերունդ տալու համար
C) Նկարներ
D) Ոսկորներ
E) Պոչը",D) bones,A) չորս ոտք,"Ես կընտրեմ պատասխանը 'C' տարբերակի տառը, արդեն իմացա՞կցված է՝ իրականում 'C' տարբերակն է համարվում՝ նկարների մեկը։","Պատասխանը պետք է լինի 'D' տառը, քանի որ գույնական տեսքով և Պոչած եղելուց առաջ մարդկանց հարգանքները վերում են արտադրվում վաճառքի ամենամեծ մասը։",D) ոսկորներ,D,bones,D,bones,D,bones,E,պոչը,,"Չորս ոտք
B) Սեռը սերունդ տալու համար
C) Նկարներ
D) Ոսկորներ
E) Պոչը",A,չորս ոտք,,,,,D,ոսկորներ
